Item ID,Item Name,Category,Version,Item Code
84222100000000.0,QID,Product H,40 / B / FtO,76-40D-DD3-18F-E-138F7FD
24064862.0,HZX,Product B,31 / A / FtO,61-640-41D-332-B-A9D4522
17627416.0,QID,Product H,32 / A / FtO,04-C33-7C3-878-A-F7EC808
16345004.0,OTH,Product P,31 / A / FtO,5D-FFB-F0C-0B2-2-DB7CA0B
22559066.0,NMA,Product H,38 / C / FtO,C2-7B6-D68-6DA-C-8C0D473
44945143.0,ZQV,Product W,32 / A / FtO,0E-BC7-D24-40A-9-A2205C8
61310715.0,OTH,Product D,34 / C / FtO,DD-914-4EC-BB8-9-EA7CDEF
91700025.0,NWB,Product H,33 / B / 31,4A-336-719-0C1-3-908DF7E
44945143.0,ZQV,Product W,30 / A / FtO,49-A4D-0EE-80A-B-60F8936
36502945.0,WHX,Product D,32 / A / FtO,1C-89C-388-1D0-D-726D144
28433082.0,LPZ,Product P,28 / A / 28,57-AF9-3EC-F28-3-FE8CD12
44945143.0,YMR,Product W,38 / B / FtO,5C-ED5-EE8-0D9-3-CDA5945
45841907.0,XEB,Product P,40 / B / FtO,20-B9C-D64-F8D-E-60800A2
58925511.0,QID,Product H,34 / B / FtO,C9-414-FFC-143-B-93F2FD7
14290618.0,AYN,Product H,32 / B / FtO,9A-143-282-66A-A-75CFBFC
26922227.0,LQS,Product C,33 / B / FtO,5B-19C-5CB-F6B-4-97D21D1
87226152.0,JAF,Product W,33 / A / FtO,DF-9E6-A0C-58F-C-E456BFF
30076956.0,YMR,Product W,33 / C / 28,A6-86C-819-394-2-69BBE3A
65237520.0,OTH,Product P,35 / B / 34,08-F88-17F-91B-B-F66B593
16345004.0,OTH,Product P,34 / A / FtO,AB-F30-E6E-47D-F-496CB71
22559066.0,NMA,Product H,31 / B / FtO,A8-2B0-86A-8C1-5-25EF109
30076956.0,HZX,Product B,36 / C / 32,FC-A7C-CB6-26F-1-5F95E7D
88825540.0,WHX,Product A,40 / C / FtO,50-FAB-9CA-570-6-60A9B91
88419828.0,FTU,Product R,M+ / Sl / Lo,D7-6A2-FDD-DEA-2-B32F7A3
61814589.0,XEB,Product P,38 / A / FtO,8C-EF8-465-336-8-0B9C5A6
61310715.0,OTH,Product D,35 / B / FtO,6C-D6D-345-A04-A-2BF6815
38274452.0,YQX,Product E,34 / B / FtO,3F-F79-0A6-390-6-85C763D
16345004.0,OTH,Product P,37 / C / FtO,12-87D-647-75E-9-BF462C2
68351923.0,WHX,Product P,37 / A / 29,9F-4B6-2F4-CAA-D-38CBED5
28069370.0,RIH,Product H,34 / B / 30,62-288-F8E-D74-B-A70FE33
57946473.0,TSH,Product N,XL / Sl / Lo,2C-4C9-035-359-B-DEF9070
22570228.0,WHX,Product P,36 / A / 28,4B-C46-E04-BC2-D-2487C9E
40522014.0,TSH,Product P,38 / B / FtO,75-E99-0F7-3E0-F-C4A2C94
24064862.0,CLH,Product B,34 / B / FtO,CD-4D4-927-4E9-4-3BFFFFB
28012380.0,RJF,Product P,37 / A / FtO,AD-479-A78-BD9-3-AE67042
26922227.0,LQS,Product C,31 / B / FtO,CE-2C1-06A-BEA-9-E2420EB
86550793.0,RIH,Product D,31 / C / FtO,D6-33F-687-AA9-B-924B09E
98751135.0,QID,Product H,30 / A / FtO,48-A53-E6F-37E-B-72543D1
73544700.0,EKJ,Product O,32 / B / 9,D9-455-1FD-6E8-C-61A25AF
62880921.0,WHX,Product A,32 / A / FtO,1F-688-D33-147-7-145B5FA
19814633.0,INU,Product D,32 / A / FtO,0A-D78-708-539-B-11D14F4
24064862.0,MAG,Product B,40 / B / FtO,78-BD5-D57-925-9-16F8BC8
44664743.0,QMB,Product J,33 / A / 29,23-092-C9A-953-1-35BA8F0
12329597.0,OHR,Product D,37 / C / 34,BB-CAA-ED1-D46-D-551FD8B
31095755.0,NSP,Product P,33 / A / 31,38-0EC-398-32C-F-9E2AF69
24064862.0,QID,Product A,34 / A / FtO,27-FAE-E63-94B-A-F12DF42
39446031.0,YQX,Product Q,32 / B / 34,F8-380-DF1-1F7-D-DB90EF1
88176838.0,KDP,Product N,M / Sl / Re,82-E9E-861-663-D-5C8D1AF
28576616.0,VXH,Product A,32 / A / 30,0F-68C-77B-E03-8-760035E
70865278.0,QID,Product H,32 / B / FtO,99-64D-02C-98A-A-D059EE8
22559066.0,NWB,Product H,37 / B / FtO,12-B0C-415-3AB-F-50EE081
24064862.0,CLH,Product B,30 / A / FtO,F6-606-CEF-560-C-F8383FE
67132360.0,KNB,Product P,37 / C / FtO,29-436-4BF-303-F-0E63526
